order_id,customer_id,amount,status,event_time
3000,22,3821.2,PLACED,2026-06-05 07:32:24
3001,28,3722.58,CANCELLED,2026-06-05 07:32:25
3002,82,4082.97,SHIPPED,2026-06-05 07:32:26
3003,80,4978.72,PLACED,2026-06-05 07:32:27
3004,61,4602.73,PLACED,2026-06-05 07:32:28
3005,17,4547.37,SHIPPED,2026-06-05 07:32:29
3006,100,3900.87,DELIVERED,2026-06-05 07:32:30
3007,24,2248.25,CANCELLED,2026-06-05 07:32:31
3008,16,1908.74,SHIPPED,2026-06-05 07:32:32
3009,100,3680.34,DELIVERED,2026-06-05 07:32:33
3010,25,1315.53,PLACED,2026-06-05 07:32:34
3011,14,4167.29,DELIVERED,2026-06-05 07:32:35
3012,58,2710.91,CANCELLED,2026-06-05 07:32:36
3013,39,2887.86,PLACED,2026-06-05 07:32:37
3014,91,2080.02,SHIPPED,2026-06-05 07:32:38
3015,66,2340.13,CANCELLED,2026-06-05 07:32:39
3016,66,3729.58,SHIPPED,2026-06-05 07:32:40
3017,89,3378.65,CANCELLED,2026-06-05 07:32:41
3018,79,3164.52,SHIPPED,2026-06-05 07:32:42
3019,64,3980.6,SHIPPED,2026-06-05 07:32:43
3020,23,824.47,DELIVERED,2026-06-05 07:32:44
3021,32,4013.5,DELIVERED,2026-06-05 07:32:45
3022,15,188.14,DELIVERED,2026-06-05 07:32:46
3023,20,1382.34,CANCELLED,2026-06-05 07:32:47
3024,49,1101.06,DELIVERED,2026-06-05 07:32:48
3025,7,4209.11,CANCELLED,2026-06-05 07:32:49
3026,92,1727.02,PLACED,2026-06-05 07:32:50
3027,90,956.83,PLACED,2026-06-05 07:32:51
3028,94,3143.67,PLACED,2026-06-05 07:32:52
3029,17,457.61,PLACED,2026-06-05 07:32:53
3030,11,3649.71,SHIPPED,2026-06-05 07:32:54
3031,72,762.09,CANCELLED,2026-06-05 07:32:55
3032,43,3514.66,PLACED,2026-06-05 07:32:56
3033,69,3648.04,CANCELLED,2026-06-05 07:32:57
3034,18,3861.19,PLACED,2026-06-05 07:32:58
3035,53,2815.82,CANCELLED,2026-06-05 07:32:59
3036,35,3397.37,SHIPPED,2026-06-05 07:33:00
3037,69,1528.5,SHIPPED,2026-06-05 07:33:01
3038,42,2195.94,CANCELLED,2026-06-05 07:33:02
3039,66,3851.71,CANCELLED,2026-06-05 07:33:03
3040,8,2629.27,DELIVERED,2026-06-05 07:33:04
3041,84,344.5,PLACED,2026-06-05 07:33:05
3042,44,1774.84,SHIPPED,2026-06-05 07:33:06
3043,42,3113.3,CANCELLED,2026-06-05 07:33:07
3044,92,106.32,DELIVERED,2026-06-05 07:33:08
3045,83,4766.44,SHIPPED,2026-06-05 07:33:09
3046,12,399.82,DELIVERED,2026-06-05 07:33:10
